season,tour,start_date,end_date,player,round,statistic,measure,value
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,SG: Approach-the-Green,tvalue,2.297
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,SG: Approach-the-Green,tvalue,2.297
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,SG: Off-the-Tee,tvalue,0.493
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,SG: Off-the-Tee,tvalue,0.493
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,SG: Tee-to-Green,tvalue,2.213
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,SG: Tee-to-Green,tvalue,2.213
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,SG: Total,tvalue,4.868
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,SG: Total,tvalue,4.868
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Eagles,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Eagles,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Birdies,tvalue,8
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Birdies,tvalue,8
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Pars,tvalue,17
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Pars,tvalue,17
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Bogeys,tvalue,2
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Bogeys,tvalue,2
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Scrambling,tvalue,0.7143
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Scrambling,tvalue,0.7143
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Driving Distance Avg,tvalue,304.7
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Driving Distance Avg,tvalue,304.7
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Fairways Hit,tvalue,0.9048
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Fairways Hit,tvalue,0.9048
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Fairway Opportunities,tvalue,21
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Fairway Opportunities,tvalue,21
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Longest Drive,tvalue,340
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Longest Drive,tvalue,340
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,GIR,tvalue,0.75
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,GIR,tvalue,0.75
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,GIR Opportunities,tvalue,28
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,GIR Opportunities,tvalue,28
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Sand Saves,tvalue,0.5
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Sand Saves,tvalue,0.5
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Sand Saves Opportunities,tvalue,2
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Sand Saves Opportunities,tvalue,2
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Average Putts - GIR,tvalue,1.667
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Average Putts - GIR,tvalue,1.667
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Total Putts - GIR,tvalue,35
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Total Putts - GIR,tvalue,35
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,Putts Per Round,tvalue,27.64
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,Putts Per Round,tvalue,27.64
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,SG: Putting,tvalue,3.384
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,SG: Putting,tvalue,3.384
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,SG: Around-the-Green,tvalue,0.559
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,SG: Around-the-Green,tvalue,0.559
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,SG: Approach-the-Green,tvalue,0.477
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,SG: Approach-the-Green,tvalue,0.477
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,SG: Off-the-Tee,tvalue,0.915
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,SG: Off-the-Tee,tvalue,0.915
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,SG: Tee-to-Green,tvalue,1.484
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,SG: Tee-to-Green,tvalue,1.484
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,1,SG: Total,tvalue,4.868
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Alex Noren,2,SG: Total,tvalue,4.868
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Eagles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Eagles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Birdies,tvalue,9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Birdies,tvalue,9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Pars,tvalue,16
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Pars,tvalue,16
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Bogeys,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Bogeys,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Scrambling,tvalue,0.875
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Scrambling,tvalue,0.875
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Driving Distance Avg,tvalue,297.7
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Driving Distance Avg,tvalue,297.7
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Fairways Hit,tvalue,0.75
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Fairways Hit,tvalue,0.75
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,1,Fairway Opportunities,tvalue,20
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Brandon Wu,2,Fairway Opportunities,tvalue,20
